num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,32,31,2048,10,0,5419.7,1025.0,5275.7,3518.4,0.6173,6218.8505,22891.5274,67.9355,171383.7091
16384,32,5,8192,10,0,4647.3,923.4,4486.4,3659.2,0.7384,2261.1039,24329.1319,67.8988,167114.0396
16384,32,29,2048,10,0,2575.2,594.1,2431.2,936.0,0.5458,4007.7518,23897.6425,67.3247,137201.4294
16384,32,19,2048,10,0,3708.8,835.9,3561.1,2825.6,0.6755,145.3552,16886.1538,67.9032,161851.3094
16384,32,12,8192,10,0,4757.9,949.5,4609.8,2880.0,0.5783,49.2259,17022.0819,67.963,167794.3797
16384,32,6,8192,10,0,5004.2,940.6,4854.0,4009.6,0.7827,364.2962,17660.9307,67.9291,166119.8184
16384,32,2,8192,10,0,4301.0,844.9,4134.0,3465.6,0.795,214.9631,20785.9685,67.9691,162148.9554
16384,32,18,2048,10,0,3937.3,862.4,3789.6,3027.2,0.6577,4014.8745,24174.5115,67.8742,165511.2144
16384,32,23,2048,10,0,4057.0,875.2,3909.3,3131.2,0.6696,1737.0289,17709.4704,67.9566,164456.2069
16384,32,1,8192,10,0,1569.4,132.5,1398.4,984.0,0.7951,102.4939,13765.8953,909.0767,51881.9598
16384,32,28,2048,10,0,4018.1,775.3,3873.2,2460.8,0.6935,35196.4413,52916.8946,59.5962,157060.267
16384,32,14,8192,10,0,4787.6,952.8,4639.5,3787.2,0.6786,6170.3462,24293.5039,67.869,168937.5467
16384,32,20,2048,10,0,4178.1,886.3,4030.4,3243.2,0.6688,4367.1622,22067.9423,67.6907,163907.4371
16384,32,24,2048,10,0,3636.2,802.7,3488.5,2193.6,0.5922,2704.2038,18683.0054,67.7019,156161.8356
16384,32,22,2048,10,0,3534.8,642.3,3387.1,2846.4,0.7579,77.5844,16173.7869,66.3506,120000.6738
16384,32,4,8192,10,0,4933.0,825.8,4768.2,3608.0,0.6904,1899.7382,23191.6453,67.7056,137708.5045
16384,32,17,2048,10,0,3747.3,828.0,3599.6,2870.4,0.6827,37.0958,10635.4894,67.7019,158914.6923
16384,32,3,8192,10,0,5655.6,1025.0,5490.8,4590.4,0.7414,4.6909,14622.3411,67.99,168203.0481
16384,32,11,8192,10,0,5055.5,977.2,4907.4,4032.0,0.7176,112.8477,16659.8144,67.8941,166059.2412
16384,32,9,8192,10,0,4893.3,964.5,4745.2,3883.2,0.6849,4107.1539,24377.2659,67.9688,169530.4215
16384,32,21,2048,10,0,5323.4,1025.0,5175.7,4251.2,0.7073,2575.9743,19734.6922,67.9223,168181.9793
16384,32,7,8192,10,0,2124.6,413.2,1976.5,1355.2,0.6878,2091.1654,17807.5162,66.0155,103287.0914
16384,32,10,8192,10,0,4280.4,886.1,4132.3,3347.2,0.708,13.9539,15947.0043,67.9673,163078.7378
16384,32,32,2048,10,0,5419.7,1025.0,5275.7,3404.8,0.6159,1802.1754,17916.5007,67.8917,170923.2662
16384,32,27,2048,10,0,5911.8,916.4,5764.4,3894.4,0.6883,7381.1777,24163.0024,67.8467,141720.2704
16384,32,16,8192,10,0,4049.9,854.3,3902.2,2368.0,0.6324,6948.1513,23839.8563,67.7531,161416.4712
16384,32,30,2048,10,0,5418.5,1024.9,5274.5,4345.6,0.7158,148.6041,21256.7989,67.9287,168176.3802
16384,32,26,2048,10,0,4146.2,849.9,3998.5,2510.4,0.6334,143.963,17075.6948,67.4682,155348.0452
16384,32,13,8192,10,0,4985.1,974.7,4837.0,3059.2,0.5907,19009.6903,38460.9512,67.7974,173242.9098
16384,32,25,2048,10,0,4855.4,947.1,4707.7,2992.0,0.6175,3750.452,18620.5881,67.6967,163962.7669
16384,32,8,8192,10,0,5438.0,1025.0,5289.9,3409.6,0.6158,37349.9184,55584.2599,59.6657,174859.313
16384,32,15,8192,10,0,4182.1,852.6,4034.1,2500.8,0.6023,9393.7134,27141.7301,67.4781,160545.4664
