tenant_key,input_bin,hit_bin,input_label,hit_label,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,mean_prefix_hit_tokens,count
8,0,0,50-2548,0-0.25,698.4089454545453,386.4004,3628.0591000000004,116.36363636363636,33
8,0,2,50-2548,0.5-0.75,5264.0348125,4296.94975,10640.6061,1108.0,24
8,1,0,2548-4866,0-0.25,2768.564966666667,3617.0787,3625.739,368.0,9
8,1,1,2548-4866,0.25-0.5,3635.7287,3635.7287,3635.7287,832.0,3
8,1,2,2548-4866,0.5-0.75,3053.64315,3053.64315,4305.2495,2544.0,6
8,1,3,2548-4866,0.75-1.0,15314.923806666662,17971.8854,26389.168339999997,3046.4,45
8,2,2,4866-9813,0.5-0.75,7319.428916666668,7455.3403,10608.6167,4210.666666666667,18
8,2,3,4866-9813,0.75-1.0,17490.007235714285,19911.542,30123.751920000002,5604.571428571428,42
8,3,3,9813-20159,0.75-1.0,21858.247749999995,26382.1591,30194.481595,13576.8,60
16,0,0,47-2238,0-0.25,1369.5119416666666,354.5492,6826.219,76.0,72
16,0,2,47-2238,0.5-0.75,11054.786436363638,10749.0927,18707.3918,1053.090909090909,33
16,1,0,2238-4866,0-0.25,5171.370166666667,6818.740900000001,6854.7895,210.66666666666666,18
16,1,1,2238-4866,0.25-0.5,6830.690549999999,6830.690549999999,6831.5718,832.0,6
16,1,2,2238-4866,0.5-0.75,10711.5709,10705.5965,10760.6199,2340.0,12
16,1,3,2238-4866,0.75-1.0,24531.416978260877,27920.7722,51700.2807,3145.0434782608695,69
16,2,2,4866-11309,0.5-0.75,16160.159489999996,18650.05685,21539.2766,4379.2,30
16,2,3,4866-11309,0.75-1.0,32152.237596000006,27956.5717,51414.9439,6389.76,75
16,3,3,11309-20159,0.75-1.0,42303.72240285712,46257.5278,59694.74721999998,14157.714285714286,105
8+16,0,0,47-2316,0-0.25,1195.6060567567565,364.3603,6821.6928,86.48648648648648,111
8+16,0,2,47-2316,0.5-0.75,8798.288688888888,7985.4481000000005,18679.683405000003,1054.2222222222222,54
8+16,1,0,2316-4866,0-0.25,5092.468114285714,6815.1931,6854.7895,324.57142857142856,21
8+16,1,1,2316-4866,0.25-0.5,5765.703266666666,6829.8093,6831.5718,832.0,9
8+16,1,2,2316-4866,0.5-0.75,7757.043257142858,10674.4707,10760.6199,2274.285714285714,21
8+16,1,3,2316-4866,0.75-1.0,20893.327568421053,21764.074399999998,43657.38531999993,3106.1052631578946,114
8+16,2,2,4866-11223,0.5-0.75,12844.885525,12667.3177,20552.674444999997,4316.0,48
8+16,2,3,4866-11223,0.75-1.0,26633.434112820512,26393.6681,51332.39718,6109.128205128205,117
8+16,3,3,11223-20159,0.75-1.0,35050.133634545455,36178.0718,55070.54627999993,13945.6,165
