tenant_count,group,turn,mean_blocking_ms,mean_prefill_ms,mean_remaining_ttft_ms,mean_total_ttft_ms,sample_count
8,Group1,1,0.0346,371.8709,0.0000,371.9056,12
8,Group1,2,0.0249,498.7879,0.0000,498.8128,12
8,Group1,3,0.0227,737.7483,0.0000,737.7710,12
8,Group1,4,0.0255,1323.0986,0.0000,1323.1241,12
8,Group1,5,0.0209,1549.7795,0.0000,1549.8004,12
8,Group1,6,0.0210,3063.7035,0.0000,3063.7246,12
8,Group1,7,0.0237,3469.5177,0.0000,3469.5415,12
8,Group1,8,0.0180,3943.4757,0.0000,3943.4936,12
8,Group1,9,0.0420,4722.6986,0.0000,4722.7406,12
8,Group1,10,0.0181,6671.0371,0.0000,6671.0552,12
8,Group2,1,0.0220,398.0205,0.0000,398.0425,12
8,Group2,2,0.0190,318.3214,0.0000,318.3404,12
8,Group2,3,0.0319,507.2890,0.0000,507.3209,12
8,Group2,4,0.0362,1713.9234,0.0000,1713.9595,12
8,Group2,5,0.0248,1368.9278,0.0000,1368.9526,12
8,Group2,6,0.0358,1601.3255,0.0000,1601.3612,12
8,Group2,7,0.0156,3337.8744,0.0000,3337.8900,12
8,Group2,8,0.0316,3328.3386,0.0000,3328.3702,12
8,Group2,9,0.0594,7324.1294,0.0000,7324.1889,12
8,Group2,10,0.0171,5121.7916,0.0000,5121.8087,12
16,Group1,1,0.0374,229.4543,0.0000,229.4917,24
16,Group1,2,0.0998,1487.5898,0.0000,1487.6897,24
16,Group1,3,0.0481,2915.3626,0.0000,2915.4107,24
16,Group1,4,0.0614,3823.2427,0.0000,3823.3041,24
16,Group1,5,0.1137,6951.2898,0.0000,6951.4035,24
16,Group1,6,0.0790,6942.3756,0.0000,6942.4547,24
16,Group1,7,0.0777,11550.1559,0.0000,11550.2336,24
16,Group1,8,0.0314,12250.7084,0.0000,12250.7398,24
16,Group1,9,0.1113,13712.8735,0.0000,13712.9848,24
16,Group1,10,0.0730,14324.7885,0.0000,14324.8615,24
16,Group2,1,0.0499,196.8580,0.0000,196.9079,24
16,Group2,2,0.1314,1502.4541,0.0000,1502.5856,24
16,Group2,3,0.0704,2929.8638,0.0000,2929.9342,24
16,Group2,4,0.0794,3990.5251,0.0000,3990.6045,24
16,Group2,5,0.1457,7841.3599,0.0000,7841.5056,24
16,Group2,6,0.0631,8987.8434,0.0000,8987.9065,24
16,Group2,7,0.1240,10159.3344,0.0000,10159.4583,24
16,Group2,8,0.0430,8773.0454,0.0000,8773.0884,24
16,Group2,9,0.0949,15600.1309,0.0000,15600.2258,24
16,Group2,10,0.0893,11776.6682,0.0000,11776.7575,24
32,Group1,1,0.1100,972.7822,0.0000,972.8922,48
32,Group1,2,0.1033,2446.7190,0.0000,2446.8222,48
32,Group1,3,89.4001,4599.9702,0.0000,4689.3703,48
32,Group1,4,46.6575,8936.6434,0.0000,8983.3008,48
32,Group1,5,325.5225,11946.0580,0.0000,12271.5806,48
32,Group1,6,914.3840,16183.2529,0.0000,17097.6369,48
32,Group1,7,0.0812,16805.8575,0.0000,16805.9387,48
32,Group2,1,0.1440,1011.3878,0.0000,1011.5318,48
32,Group2,2,0.1575,2496.2316,0.0000,2496.3891,48
32,Group2,3,133.9782,5783.4205,0.0000,5917.3987,48
32,Group2,4,93.0491,8131.0599,0.0000,8224.1090,48
32,Group2,5,244.1946,11319.9106,0.0000,11564.1052,48
32,Group2,6,183.0564,13435.6882,0.0000,13618.7446,48
32,Group2,7,0.1330,20860.5824,0.0000,20860.7154,48
