tenant_count,group_label,turn_index,mean_p95_tbt_ms,p95_p95_tbt_ms,n
16,Group2 (limit=12288),1,12.245137499999998,12.30707,24
16,Group2 (limit=12288),2,21.19255,21.31148,24
16,Group2 (limit=12288),3,30.528216666666662,30.656869999999998,24
16,Group2 (limit=12288),4,39.89225,39.991765,24
16,Group2 (limit=12288),5,48.466029166666665,48.549305000000004,24
16,Group2 (limit=12288),6,57.45459999999999,57.55576000000001,24
16,Group2 (limit=12288),7,66.37953333333333,66.51005500000001,24
16,Group2 (limit=12288),8,75.7766625,75.90424,24
16,Group2 (limit=12288),9,84.60504166666668,84.725365,24
16,Group2 (limit=12288),10,93.28804583333334,93.40246499999999,24
16,Group1 (limit=24576),1,14.28093333333333,14.33964,24
16,Group1 (limit=24576),2,21.317095833333337,21.410685,24
16,Group1 (limit=24576),3,29.90675,30.008575,24
16,Group1 (limit=24576),4,39.16838333333333,39.20963,24
16,Group1 (limit=24576),5,47.68195,47.732275,24
16,Group1 (limit=24576),6,56.70278333333332,56.746725,24
16,Group1 (limit=24576),7,65.52486666666667,65.614185,24
16,Group1 (limit=24576),8,74.99080833333333,75.06751,24
16,Group1 (limit=24576),9,83.84237083333333,83.91145,24
16,Group1 (limit=24576),10,92.5065583333333,92.612095,24
32,Group2 (limit=12288),1,19.273425,19.416684999999998,48
32,Group2 (limit=12288),2,37.286354166666676,37.48755,48
32,Group2 (limit=12288),3,56.34701666666667,56.921290000000006,48
32,Group2 (limit=12288),4,75.16625208333333,75.779775,48
32,Group2 (limit=12288),5,93.10585416666669,94.147235,48
32,Group2 (limit=12288),6,111.61674375,112.48215499999999,48
32,Group2 (limit=12288),7,117.41253333333337,119.78931999999999,48
32,Group2 (limit=12288),8,114.85779791666666,122.029355,48
32,Group2 (limit=12288),9,116.92938958333333,124.029945,48
32,Group2 (limit=12288),10,111.22620416666666,125.356425,48
32,Group1 (limit=24576),1,22.05228958333333,22.708835,48
32,Group1 (limit=24576),2,36.34173124999999,36.672685,48
32,Group1 (limit=24576),3,54.906270833333316,55.448575000000005,48
32,Group1 (limit=24576),4,73.67068958333336,74.205555,48
32,Group1 (limit=24576),5,91.61261041666667,92.47446500000001,48
32,Group1 (limit=24576),6,110.03058333333337,111.05013500000001,48
32,Group1 (limit=24576),7,115.45421041666667,118.43735,48
32,Group1 (limit=24576),8,114.78548749999997,121.15113,48
32,Group1 (limit=24576),9,110.39020625,121.97733000000001,48
32,Group1 (limit=24576),10,108.25387083333335,123.60427000000001,48
8,Group2 (limit=12288),1,9.488841666666668,9.522085,12
8,Group2 (limit=12288),2,14.04716666666667,14.09007,12
8,Group2 (limit=12288),3,18.798625,18.843075,12
8,Group2 (limit=12288),4,23.32313333333333,23.37981,12
8,Group2 (limit=12288),5,27.67555,27.795524999999998,12
8,Group2 (limit=12288),6,32.287150000000004,32.408245,12
8,Group2 (limit=12288),7,36.8645,37.055695,12
8,Group2 (limit=12288),8,41.76883333333334,42.02039,12
8,Group2 (limit=12288),9,46.2532,46.66833,12
8,Group2 (limit=12288),10,50.50299166666667,50.848405,12
8,Group1 (limit=24576),1,10.1862,10.21079,12
8,Group1 (limit=24576),2,13.826783333333331,13.85332,12
8,Group1 (limit=24576),3,18.433899999999998,18.460285,12
8,Group1 (limit=24576),4,22.960233333333335,23.018015,12
8,Group1 (limit=24576),5,27.239441666666668,27.313915,12
8,Group1 (limit=24576),6,31.86503333333333,32.001875,12
8,Group1 (limit=24576),7,36.4766,36.647445,12
8,Group1 (limit=24576),8,41.37580833333334,41.615555,12
8,Group1 (limit=24576),9,45.73163333333334,46.012715,12
8,Group1 (limit=24576),10,50.08079166666667,50.484719999999996,12
