exp_label,tenant_count,turn_index,group1_mean_p95_tbt_ms,group2_mean_p95_tbt_ms
exp1,16,1,14.29505,12.249712500000001
exp1,16,2,21.3003125,21.199775
exp1,16,3,29.882725,30.512974999999997
exp1,16,4,39.162324999999996,39.8751875
exp1,16,5,47.658837500000004,48.505300000000005
exp1,16,6,56.701387499999996,57.45989999999999
exp1,16,7,65.5847125,66.48294999999999
exp1,16,8,75.02825,75.7914375
exp1,16,9,83.891675,84.688225
exp1,16,10,92.47518749999999,93.2444
exp1,32,1,22.080843750000003,19.286756249999996
exp1,32,2,36.301306249999996,37.23964375
exp1,32,3,54.749187500000005,56.201024999999994
exp1,32,4,73.43573750000002,74.8751
exp1,32,5,91.64006875,93.13842500000001
exp1,32,6,109.47253125000002,111.17255625
exp1,32,7,114.92158125,115.80355625000001
exp1,32,8,114.15489374999999,101.63923124999998
exp1,32,9,110.88501250000002,122.18135624999998
exp1,32,10,108.10991875,113.01982499999998
exp1,8,1,10.203475000000001,9.4725
exp1,8,2,13.84505,14.083475
exp1,8,3,18.444824999999998,18.826775
exp1,8,4,23.01025,23.363725
exp1,8,5,27.31115,27.779549999999997
exp1,8,6,31.9927,32.39725
exp1,8,7,36.6375,37.041375
exp1,8,8,41.602625,42.00835
exp1,8,9,46.0022,46.643325
exp1,8,10,50.4812,50.8418
exp2,16,1,14.2445625,12.233775
exp2,16,2,21.275212500000002,21.179675
exp2,16,3,29.865975000000002,30.4467875
exp2,16,4,39.1721125,39.9016875
exp2,16,5,47.68806250000001,48.427049999999994
exp2,16,6,56.697250000000004,57.41356249999999
exp2,16,7,65.548,66.368
exp2,16,8,75.0220625,75.882475
exp2,16,9,83.86,84.62797499999999
exp2,16,10,92.5926,93.3795
exp2,32,1,21.99500625,19.32525625
exp2,32,2,36.28363749999999,37.27441250000001
exp2,32,3,54.63710000000001,56.00943125
exp2,32,4,73.46173125,74.958325
exp2,32,5,90.79263750000001,92.1429375
exp2,32,6,109.61757499999997,111.30557499999999
exp2,32,7,114.41442500000001,117.46416874999998
exp2,32,8,114.32439375,121.08191875000001
exp2,32,9,108.410275,108.41576875
exp2,32,10,105.44629999999998,103.28551875
exp2,8,1,10.161549999999998,9.511524999999999
exp2,8,2,13.806075,14.027000000000001
exp2,8,3,18.443624999999997,18.79945
exp2,8,4,22.9183,23.321599999999997
exp2,8,5,27.2072,27.62635
exp2,8,6,31.836775,32.2357
exp2,8,7,36.446925,36.820925
exp2,8,8,41.282174999999995,41.652175
exp2,8,9,45.598074999999994,46.058749999999996
exp2,8,10,49.885475,50.345949999999995
exp3,16,1,14.3031875,12.251925
exp3,16,2,21.3757625,21.1982
exp3,16,3,29.97155,30.6248875
exp3,16,4,39.1707125,39.899875
exp3,16,5,47.69895,48.465737499999996
exp3,16,6,56.7097125,57.4903375
exp3,16,7,65.44188749999998,66.28764999999999
exp3,16,8,74.9221125,75.656075
exp3,16,9,83.77543750000001,84.498925
exp3,16,10,92.4518875,93.2402375
exp3,32,1,22.081018750000002,19.2082625
exp3,32,2,36.44025,37.345006250000004
exp3,32,3,55.332525000000004,56.830593750000006
exp3,32,4,74.1146,75.66533125
exp3,32,5,92.405125,94.0362
exp3,32,6,111.00164375,112.3721
exp3,32,7,117.026625,118.96987500000003
exp3,32,8,115.877175,121.85224374999999
exp3,32,9,111.87533124999999,120.19104374999999
exp3,32,10,111.20539375,117.37326875
exp3,8,1,10.193575000000001,9.4825
exp3,8,2,13.829225000000001,14.031025
exp3,8,3,18.41325,18.76965
exp3,8,4,22.952150000000003,23.284074999999998
exp3,8,5,27.199975,27.620749999999997
exp3,8,6,31.765625,32.2285
exp3,8,7,36.345375000000004,36.7312
exp3,8,8,41.242625,41.645975
exp3,8,9,45.594625,46.057525000000005
exp3,8,10,49.875699999999995,50.32122499999999
