tenant_count,turn_index,mean_sum_p95_tbt_ms,min_sum_p95_tbt_ms,max_sum_p95_tbt_ms,mean_sum_input_tokens,mean_sum_output_tokens,runs
16,1,212.20856666666668,211.8267,212.4409,3367.0,20493.666666666668,3
16,2,340.07716666666664,339.63910000000004,340.59169999999995,26078.333333333332,20496.0,3
16,3,483.47973333333334,482.5021,484.7715000000001,50014.666666666664,20496.0,3
16,4,632.4850666666667,632.3001,632.5904000000002,73517.0,20496.0,3
16,5,769.1838333333334,768.9209,769.3175,95267.0,20496.0,3
16,6,913.2590666666665,912.8865000000001,913.6004,118220.33333333333,20496.0,3
16,7,1055.2351999999998,1053.8363,1056.5412999999999,140684.66666666666,20496.0,3
16,8,1206.1397666666664,1204.6254999999999,1207.2363,164725.33333333334,20496.0,3
16,9,1347.5793,1346.1949,1348.6392000000003,187429.66666666666,20496.0,3
16,10,1486.3568333333333,1485.5369999999998,1487.7768,209173.66666666666,20496.0,3
32,1,661.2114333333333,660.6285,661.8815999999998,5540.0,40989.0,3
32,2,1178.0493666666664,1176.6551999999997,1180.5640999999996,51162.0,40991.666666666664,3
32,3,1780.0526000000002,1770.3444999999997,1794.6099,98025.33333333333,40992.0,3
32,4,2381.3910666666666,2372.9734,2396.4789,144679.0,40991.666666666664,3
32,5,2955.4954333333335,2926.9692,2983.061200000001,189167.66666666666,40992.0,3
32,6,3546.3572333333327,3530.3213999999994,3573.9799,234925.0,40992.0,3
32,7,3725.8678999999997,3691.6022000000003,3775.944,279894.0,40992.0,3
32,8,3674.292566666667,3452.7059999999997,3803.6707000000006,325865.6666666667,40992.0,3
32,9,3637.113533333333,3469.2167000000004,3729.0618999999997,372705.6666666667,40992.0,3
32,10,3511.6812000000004,3339.709100000001,3657.2586,417214.3333333333,40991.333333333336,3
8,1,78.70016666666665,78.69229999999999,78.7043,2971.0,10247.666666666666,3
8,2,111.49580000000002,111.33230000000002,111.71410000000002,14400.666666666666,10246.0,3
8,3,148.93009999999998,148.73160000000001,149.08639999999997,26089.333333333332,10248.0,3
8,4,185.13346666666666,184.94490000000002,185.49589999999998,37455.0,10248.0,3
8,5,219.6599666666667,219.2829,220.3628,48170.0,10248.0,3
8,6,256.6087333333333,255.9765,257.5598,59696.0,10248.0,3
8,7,293.3644,292.3063,294.71549999999996,71154.33333333333,10248.0,3
8,8,332.57856666666663,331.5544,334.44390000000004,83168.0,10248.0,3
8,9,367.9393333333333,366.60859999999997,370.5821,94308.33333333333,10248.0,3
8,10,402.3351333333333,400.78770000000003,405.29200000000003,105036.66666666667,10248.0,3
