blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,32,2034.0000,0.248291,992.0850
lt100,exp1,2,32,18849.0000,2.300903,2471.4753
lt100,exp1,3,27,20877.0000,2.548462,4776.3437
lt100,exp1,4,29,22621.0000,2.761353,8230.1477
lt100,exp1,5,25,20005.0000,2.442017,10501.4563
lt100,exp1,6,26,22276.0000,2.719238,13807.7496
lt100,exp1,7,32,27359.0000,3.339722,18833.2199
lt100,exp2,1,32,2034.0000,0.248291,992.0850
lt100,exp2,2,32,18849.0000,2.300903,2471.4753
lt100,exp2,3,27,20877.0000,2.548462,4776.3437
lt100,exp2,4,29,22621.0000,2.761353,8230.1477
lt100,exp2,5,25,20005.0000,2.442017,10501.4563
lt100,exp2,6,26,22276.0000,2.719238,13807.7496
lt100,exp2,7,32,27359.0000,3.339722,18833.2199
lt100,exp3,1,32,2034.0000,0.248291,992.0850
lt100,exp3,2,32,18849.0000,2.300903,2471.4753
lt100,exp3,3,27,20877.0000,2.548462,4776.3437
lt100,exp3,4,29,22621.0000,2.761353,8230.1477
lt100,exp3,5,25,20005.0000,2.442017,10501.4563
lt100,exp3,6,26,22276.0000,2.719238,13807.7496
lt100,exp3,7,32,27359.0000,3.339722,18833.2199
gt100,exp1,3,5,5569.0000,0.679810,7434.5945
gt100,exp1,4,3,3354.0000,0.409424,11469.6566
gt100,exp1,5,7,7571.0000,0.924194,15674.1559
gt100,exp1,6,6,5583.0000,0.681519,19150.2612
gt100,exp2,3,5,5569.0000,0.679810,7434.5945
gt100,exp2,4,3,3354.0000,0.409424,11469.6566
gt100,exp2,5,7,7571.0000,0.924194,15674.1559
gt100,exp2,6,6,5583.0000,0.681519,19150.2612
gt100,exp3,3,5,5569.0000,0.679810,7434.5945
gt100,exp3,4,3,3354.0000,0.409424,11469.6566
gt100,exp3,5,7,7571.0000,0.924194,15674.1559
gt100,exp3,6,6,5583.0000,0.681519,19150.2612
