scope,count,mean_prefill_ms,mean_prefill_cost_per_token,mean_prefill_residual_ms,corr_resident_kv_cost_per_token,corr_batch_kv_cost_per_token,corr_batch_compute_cost_per_token,corr_batch_kv_residual,corr_batch_compute_residual
all,672,8923.5403,61.699321,8807.3959,-0.289087,-0.144624,-0.393250,0.809467,0.569561
focus_turns_5_6_7,288,15091.8916,52.806182,14948.1520,-0.351977,0.123289,-0.084260,0.424345,-0.209571
turn=5,96,11632.9843,33.703129,11489.3593,-0.659207,0.000000,0.000000,0.000000,0.000000
turn=6,96,14809.4705,45.411719,14664.3716,-0.740971,0.000000,0.000000,0.000000,0.000000
turn=7,96,18833.2199,79.303698,18690.7251,-0.387195,0.000000,0.000000,0.000000,0.000000
pressure_bin=Low,96,992.0850,224.453356,981.4912,0.000000,0.000000,0.000000,0.000000,0.000000
pressure_bin=High,96,2471.4753,7.752615,2373.3034,-0.302329,0.000000,0.000000,0.000000,0.000000
pressure_bin=Extra,480,11800.2444,39.937855,11659.3954,-0.202091,0.168098,0.099618,0.678480,0.481491

batch_pressure_cutoff_mib,q1=512.0000,q2=1024.0000
