turn_index,group,group_label,sample_count,mean_blocking_ms,p95_blocking_ms,p99_blocking_ms,mean_prefill_ms,p95_prefill_ms,p99_prefill_ms,mean_ttft_ms,mean_input_tokens,mean_output_tokens,mean_kv_history_tokens,mean_prefix_hit_tokens,mean_prefix_hit_rate,mean_total_resident_kv_gib_per_exp,mean_total_request_kv_gib_per_exp
1,2048,Group2,48,0.14398750000000002,0.25237,0.2565,1011.3877812500003,1115.892645,1116.5958999999998,1011.5317687500001,7.6875,671.3125,0.0,0.0,0.0,0.0,0.003753662109375
1,8192,Group1,48,0.10999999999999999,0.22906999999999997,0.2353,972.7821937500001,1067.321355,1082.8133000000003,972.8921937500004,210.4375,350.5,0.0,91.0,0.604857646762409,0.0,0.102752685546875
2,2048,Group2,48,0.15751874999999999,0.32890499999999995,0.3358,2496.2315562499994,3199.6815300000003,3202.9170000000004,2496.389075,685.125,790.125,679.4375,0.0,0.0,0.331756591796875,0.33453369140625
2,8192,Group1,48,0.10326875000000002,0.275275,0.2849,2446.7189750000002,3164.511775,3168.594,2446.8222437499994,698.9375,629.0625,561.0,206.0,0.2603790718887439,0.27392578125,0.341278076171875
3,2048,Group2,48,133.97818124999998,713.7375949999999,713.7433,5783.42051875,7908.060504999999,8161.531800000001,5917.398700000001,1481.375,740.0625,1475.875,678.0,0.5068361694233214,0.72064208984375,0.72332763671875
3,8192,Group1,48,89.40011250000002,713.69875,713.7103,4599.97023125,7435.1771149999995,7439.321499999999,4689.37034375,1542.5,676.1875,1328.3125,693.0,0.46676248337968024,0.648590087890625,0.753173828125
4,2048,Group2,48,93.04911875,742.892215,742.8982,8131.059856250001,11935.758184999999,12187.6374,8224.108975,2227.25,778.75,2221.75,1474.0,0.6822445230687176,1.0848388671875,1.0875244140625
4,8192,Group1,48,46.65746875,483.05140999999895,742.9185,8936.643375000005,12213.256835,12224.9818,8983.300843750001,2406.1875,847.0625,2219.25,1536.0,0.6473728182921253,1.0836181640625,1.174896240234375
5,2048,Group2,48,244.19459374999997,1301.38365,1301.4008,11319.910637500003,16548.435589999997,17004.7462,11564.105231250005,3012.0,786.25,3006.4375,2222.0,0.7520556674750708,1.467987060546875,1.470703125
5,8192,Group1,48,325.52254999999997,1301.3786949999999,1301.3844,11946.058049999998,15684.156765,15686.428999999998,12271.580600000001,3331.5,782.0625,3253.9375,2398.0,0.7153002672030547,1.588836669921875,1.626708984375
6,2048,Group2,48,183.05643124999997,1901.746209999996,2925.51,13435.688187500002,18313.639524999995,19146.596299999997,13618.744618749997,3804.3125,802.5625,3798.8125,3006.0,0.8019909084279851,1.854888916015625,1.857574462890625
6,8192,Group1,48,914.3839750000003,2925.5548750000003,2925.561,16183.252875000007,21068.038554999996,22093.4856,17097.636850000003,4266.875,769.6875,4114.1875,3324.0,0.7882676170178534,2.008880615234375,2.08343505859375
7,2048,Group2,48,0.13303124999999996,0.27959999999999996,0.2866,20860.582375,26174.438045000003,26180.1645,20860.71540625,4612.75,776.0,4607.3125,3801.0,0.8180104665720558,2.249664306640625,2.2523193359375
7,8192,Group1,48,0.08122500000000002,0.28324499999999986,0.3117,16805.857487499998,26174.286894999997,26188.1344,16805.9387125,5159.1875,827.375,5037.0625,4261.0,0.8271066313939208,2.459503173828125,2.519134521484375
